issue number,date,number,place1,place2,place3,day of week,year,month,day,,,,,,,,,,,,,,,
1697,2005/11/16,893,8,9,3,Wednesday,2005,11,16,,,,,,,,,,,,,,,
1698,2005/11/17,533,5,3,3,Thursday,2005,11,17,,,,,,,,,,,,,,,
1699,2005/11/18,47,0,4,7,Friday,2005,11,18,,,,,,,,,,,,,,,
1700,2005/11/21,844,8,4,4,Monday,2005,11,21,,,,,,,,,,,,,,,
1701,2005/11/22,678,6,7,8,Tuesday,2005,11,22,,,,,,,,,,,,,,,
1702,2005/11/23,469,4,6,9,Wednesday,2005,11,23,,,,,,,,,,,,,,,
1703,2005/11/24,449,4,4,9,Thursday,2005,11,24,,,,,,,,,,,,,,,
1704,2005/11/25,924,9,2,4,Friday,2005,11,25,,,,,,,,,,,,,,,
1705,2005/11/28,759,7,5,9,Monday,2005,11,28,,,,,,,,,,,,,,,
1706,2005/11/29,855,8,5,5,Tuesday,2005,11,29,,,,,,,,,,,,,,,
1707,2005/11/30,104,1,0,4,Wednesday,2005,11,30,,,,,,,,,,,,,,,
1708,2005/12/1,463,4,6,3,Thursday,2005,12,1,,,,,,,,,,,,,,,
1709,2005/12/2,477,4,7,7,Friday,2005,12,2,,,,,,,,,,,,,,,
1710,2005/12/5,692,6,9,2,Monday,2005,12,5,,,,,,,,,,,,,,,
1711,2005/12/6,803,8,0,3,Tuesday,2005,12,6,,,,,,,,,,,,,,,
1712,2005/12/7,280,2,8,0,Wednesday,2005,12,7,,,,,,,,,,,,,,,
1713,2005/12/8,101,1,0,1,Thursday,2005,12,8,,,,,,,,,,,,,,,
1714,2005/12/9,347,3,4,7,Friday,2005,12,9,,,,,,,,,,,,,,,
1715,2005/12/12,846,8,4,6,Monday,2005,12,12,,,,,,,,,,,,,,,
1716,2005/12/13,792,7,9,2,Tuesday,2005,12,13,,,,,,,,,,,,,,,
1717,2005/12/14,610,6,1,0,Wednesday,2005,12,14,,,,,,,,,,,,,,,
1718,2005/12/15,161,1,6,1,Thursday,2005,12,15,,,,,,,,,,,,,,,
1719,2005/12/16,257,2,5,7,Friday,2005,12,16,,,,,,,,,,,,,,,
1720,2005/12/19,28,0,2,8,Monday,2005,12,19,,,,,,,,,,,,,,,
1721,2005/12/20,33,0,3,3,Tuesday,2005,12,20,,,,,,,,,,,,,,,
1722,2005/12/21,863,8,6,3,Wednesday,2005,12,21,,,,,,,,,,,,,,,
1723,2005/12/22,164,1,6,4,Thursday,2005,12,22,,,,,,,,,,,,,,,
1724,2005/12/23,616,6,1,6,Friday,2005,12,23,,,,,,,,,,,,,,,
1725,2005/12/26,916,9,1,6,Monday,2005,12,26,,,,,,,,,,,,,,,
1726,2005/12/27,836,8,3,6,Tuesday,2005,12,27,,,,,,,,,,,,,,,
1727,2005/12/28,646,6,4,6,Wednesday,2005,12,28,,,,,,,,,,,,,,,
1728,2005/12/29,908,9,0,8,Thursday,2005,12,29,,,,,,,,,,,,,,,
1729,2005/12/30,62,0,6,2,Friday,2005,12,30,,,,,,,,,,,,,,,
1730,2006/1/4,266,2,6,6,Wednesday,2006,1,4,,,,,,,,,,,,,,,
1731,2006/1/5,998,9,9,8,Thursday,2006,1,5,,,,,,,,,,,,,,,
1732,2006/1/6,119,1,1,9,Friday,2006,1,6,,,,,,,,,,,,,,,
1733,2006/1/9,674,6,7,4,Monday,2006,1,9,,,,,,,,,,,,,,,
1734,2006/1/10,897,8,9,7,Tuesday,2006,1,10,,,,,,,,,,,,,,,
1735,2006/1/11,733,7,3,3,Wednesday,2006,1,11,,,,,,,,,,,,,,,
1736,2006/1/12,675,6,7,5,Thursday,2006,1,12,,,,,,,,,,,,,,,
1737,2006/1/13,433,4,3,3,Friday,2006,1,13,,,,,,,,,,,,,,,
1738,2006/1/16,771,7,7,1,Monday,2006,1,16,,,,,,,,,,,,,,,
1739,2006/1/17,884,8,8,4,Tuesday,2006,1,17,,,,,,,,,,,,,,,
1740,2006/1/18,801,8,0,1,Wednesday,2006,1,18,,,,,,,,,,,,,,,
1741,2006/1/19,503,5,0,3,Thursday,2006,1,19,,,,,,,,,,,,,,,
1742,2006/1/20,916,9,1,6,Friday,2006,1,20,,,,,,,,,,,,,,,
1743,2006/1/23,846,8,4,6,Monday,2006,1,23,,,,,,,,,,,,,,,
1744,2006/1/24,188,1,8,8,Tuesday,2006,1,24,,,,,,,,,,,,,,,
1745,2006/1/25,979,9,7,9,Wednesday,2006,1,25,,,,,,,,,,,,,,,
1746,2006/1/26,293,2,9,3,Thursday,2006,1,26,,,,,,,,,,,,,,,
1747,2006/1/27,562,5,6,2,Friday,2006,1,27,,,,,,,,,,,,,,,
1748,2006/1/30,21,0,2,1,Monday,2006,1,30,,,,,,,,,,,,,,,
1749,2006/1/31,696,6,9,6,Tuesday,2006,1,31,,,,,,,,,,,,,,,
1750,2006/2/1,870,8,7,0,Wednesday,2006,2,1,,,,,,,,,,,,,,,
1751,2006/2/2,634,6,3,4,Thursday,2006,2,2,,,,,,,,,,,,,,,
1752,2006/2/3,92,0,9,2,Friday,2006,2,3,,,,,,,,,,,,,,,
1753,2006/2/6,86,0,8,6,Monday,2006,2,6,,,,,,,,,,,,,,,
1754,2006/2/7,559,5,5,9,Tuesday,2006,2,7,,,,,,,,,,,,,,,
1755,2006/2/8,571,5,7,1,Wednesday,2006,2,8,,,,,,,,,,,,,,,
1756,2006/2/9,29,0,2,9,Thursday,2006,2,9,,,,,,,,,,,,,,,
1757,2006/2/10,64,0,6,4,Friday,2006,2,10,,,,,,,,,,,,,,,
1758,2006/2/13,148,1,4,8,Monday,2006,2,13,,,,,,,,,,,,,,,
1759,2006/2/14,358,3,5,8,Tuesday,2006,2,14,,,,,,,,,,,,,,,
1760,2006/2/15,399,3,9,9,Wednesday,2006,2,15,,,,,,,,,,,,,,,
1761,2006/2/16,901,9,0,1,Thursday,2006,2,16,,,,,,,,,,,,,,,
1762,2006/2/17,484,4,8,4,Friday,2006,2,17,,,,,,,,,,,,,,,
1763,2006/2/20,606,6,0,6,Monday,2006,2,20,,,,,,,,,,,,,,,
1764,2006/2/21,433,4,3,3,Tuesday,2006,2,21,,,,,,,,,,,,,,,
1765,2006/2/22,131,1,3,1,Wednesday,2006,2,22,,,,,,,,,,,,,,,
1766,2006/2/23,455,4,5,5,Thursday,2006,2,23,,,,,,,,,,,,,,,
1767,2006/2/24,965,9,6,5,Friday,2006,2,24,,,,,,,,,,,,,,,
1768,2006/2/27,743,7,4,3,Monday,2006,2,27,,,,,,,,,,,,,,,
1769,2006/2/28,617,6,1,7,Tuesday,2006,2,28,,,,,,,,,,,,,,,
1770,2006/3/1,755,7,5,5,Wednesday,2006,3,1,,,,,,,,,,,,,,,
1771,2006/3/2,679,6,7,9,Thursday,2006,3,2,,,,,,,,,,,,,,,
1772,2006/3/3,643,6,4,3,Friday,2006,3,3,,,,,,,,,,,,,,,
1773,2006/3/6,32,0,3,2,Monday,2006,3,6,,,,,,,,,,,,,,,
1774,2006/3/7,431,4,3,1,Tuesday,2006,3,7,,,,,,,,,,,,,,,
1775,2006/3/8,50,0,5,0,Wednesday,2006,3,8,,,,,,,,,,,,,,,
1776,2006/3/9,259,2,5,9,Thursday,2006,3,9,,,,,,,,,,,,,,,
1777,2006/3/10,331,3,3,1,Friday,2006,3,10,,,,,,,,,,,,,,,
1778,2006/3/13,831,8,3,1,Monday,2006,3,13,,,,,,,,,,,,,,,
1779,2006/3/14,321,3,2,1,Tuesday,2006,3,14,,,,,,,,,,,,,,,
1780,2006/3/15,164,1,6,4,Wednesday,2006,3,15,,,,,,,,,,,,,,,
1781,2006/3/16,20,0,2,0,Thursday,2006,3,16,,,,,,,,,,,,,,,
1782,2006/3/17,435,4,3,5,Friday,2006,3,17,,,,,,,,,,,,,,,
1783,2006/3/20,790,7,9,0,Monday,2006,3,20,,,,,,,,,,,,,,,
1784,2006/3/21,955,9,5,5,Tuesday,2006,3,21,,,,,,,,,,,,,,,
1785,2006/3/22,645,6,4,5,Wednesday,2006,3,22,,,,,,,,,,,,,,,
1786,2006/3/23,323,3,2,3,Thursday,2006,3,23,,,,,,,,,,,,,,,
1787,2006/3/24,678,6,7,8,Friday,2006,3,24,,,,,,,,,,,,,,,
1788,2006/3/27,740,7,4,0,Monday,2006,3,27,,,,,,,,,,,,,,,
1789,2006/3/28,794,7,9,4,Tuesday,2006,3,28,,,,,,,,,,,,,,,
1790,2006/3/29,619,6,1,9,Wednesday,2006,3,29,,,,,,,,,,,,,,,
1791,2006/3/30,853,8,5,3,Thursday,2006,3,30,,,,,,,,,,,,,,,
1792,2006/3/31,261,2,6,1,Friday,2006,3,31,,,,,,,,,,,,,,,
1793,2006/4/3,630,6,3,0,Monday,2006,4,3,,,,,,,,,,,,,,,
1794,2006/4/4,28,0,2,8,Tuesday,2006,4,4,,,,,,,,,,,,,,,
1795,2006/4/5,439,4,3,9,Wednesday,2006,4,5,,,,,,,,,,,,,,,
1796,2006/4/6,587,5,8,7,Thursday,2006,4,6,,,,,,,,,,,,,,,
1797,2006/4/7,829,8,2,9,Friday,2006,4,7,,,,,,,,,,,,,,,
1798,2006/4/10,748,7,4,8,Monday,2006,4,10,,,,,,,,,,,,,,,
1799,2006/4/11,490,4,9,0,Tuesday,2006,4,11,,,,,,,,,,,,,,,
1800,2006/4/12,483,4,8,3,Wednesday,2006,4,12,,,,,,,,,,,,,,,
1801,2006/4/13,575,5,7,5,Thursday,2006,4,13,,,,,,,,,,,,,,,
1802,2006/4/14,372,3,7,2,Friday,2006,4,14,,,,,,,,,,,,,,,
1803,2006/4/17,575,5,7,5,Monday,2006,4,17,,,,,,,,,,,,,,,
1804,2006/4/18,273,2,7,3,Tuesday,2006,4,18,,,,,,,,,,,,,,,
1805,2006/4/19,115,1,1,5,Wednesday,2006,4,19,,,,,,,,,,,,,,,
1806,2006/4/20,872,8,7,2,Thursday,2006,4,20,,,,,,,,,,,,,,,
1807,2006/4/21,36,0,3,6,Friday,2006,4,21,,,,,,,,,,,,,,,
1808,2006/4/24,422,4,2,2,Monday,2006,4,24,,,,,,,,,,,,,,,
1809,2006/4/25,913,9,1,3,Tuesday,2006,4,25,,,,,,,,,,,,,,,
1810,2006/4/26,940,9,4,0,Wednesday,2006,4,26,,,,,,,,,,,,,,,
1811,2006/4/27,528,5,2,8,Thursday,2006,4,27,,,,,,,,,,,,,,,
1812,2006/4/28,326,3,2,6,Friday,2006,4,28,,,,,,,,,,,,,,,
1813,2006/5/1,686,6,8,6,Monday,2006,5,1,,,,,,,,,,,,,,,
1814,2006/5/2,735,7,3,5,Tuesday,2006,5,2,,,,,,,,,,,,,,,
1815,2006/5/3,49,0,4,9,Wednesday,2006,5,3,,,,,,,,,,,,,,,
1816,2006/5/4,861,8,6,1,Thursday,2006,5,4,,,,,,,,,,,,,,,
1817,2006/5/5,74,0,7,4,Friday,2006,5,5,,,,,,,,,,,,,,,
1818,2006/5/8,387,3,8,7,Monday,2006,5,8,,,,,,,,,,,,,,,
1819,2006/5/9,212,2,1,2,Tuesday,2006,5,9,,,,,,,,,,,,,,,
1820,2006/5/10,694,6,9,4,Wednesday,2006,5,10,,,,,,,,,,,,,,,
1821,2006/5/11,994,9,9,4,Thursday,2006,5,11,,,,,,,,,,,,,,,
1822,2006/5/12,176,1,7,6,Friday,2006,5,12,,,,,,,,,,,,,,,
1823,2006/5/15,109,1,0,9,Monday,2006,5,15,,,,,,,,,,,,,,,
1824,2006/5/16,423,4,2,3,Tuesday,2006,5,16,,,,,,,,,,,,,,,
1825,2006/5/17,694,6,9,4,Wednesday,2006,5,17,,,,,,,,,,,,,,,
1826,2006/5/18,299,2,9,9,Thursday,2006,5,18,,,,,,,,,,,,,,,
1827,2006/5/19,908,9,0,8,Friday,2006,5,19,,,,,,,,,,,,,,,
1828,2006/5/22,493,4,9,3,Monday,2006,5,22,,,,,,,,,,,,,,,
1829,2006/5/23,962,9,6,2,Tuesday,2006,5,23,,,,,,,,,,,,,,,
1830,2006/5/24,287,2,8,7,Wednesday,2006,5,24,,,,,,,,,,,,,,,
1831,2006/5/25,941,9,4,1,Thursday,2006,5,25,,,,,,,,,,,,,,,
1832,2006/5/26,598,5,9,8,Friday,2006,5,26,,,,,,,,,,,,,,,
1833,2006/5/29,873,8,7,3,Monday,2006,5,29,,,,,,,,,,,,,,,
1834,2006/5/30,293,2,9,3,Tuesday,2006,5,30,,,,,,,,,,,,,,,
1835,2006/5/31,896,8,9,6,Wednesday,2006,5,31,,,,,,,,,,,,,,,
1836,2006/6/1,792,7,9,2,Thursday,2006,6,1,,,,,,,,,,,,,,,
1837,2006/6/2,198,1,9,8,Friday,2006,6,2,,,,,,,,,,,,,,,
1838,2006/6/5,173,1,7,3,Monday,2006,6,5,,,,,,,,,,,,,,,
1839,2006/6/6,850,8,5,0,Tuesday,2006,6,6,,,,,,,,,,,,,,,
1840,2006/6/7,795,7,9,5,Wednesday,2006,6,7,,,,,,,,,,,,,,,
1841,2006/6/8,858,8,5,8,Thursday,2006,6,8,,,,,,,,,,,,,,,
1842,2006/6/9,640,6,4,0,Friday,2006,6,9,,,,,,,,,,,,,,,
1843,2006/6/12,269,2,6,9,Monday,2006,6,12,,,,,,,,,,,,,,,
1844,2006/6/13,178,1,7,8,Tuesday,2006,6,13,,,,,,,,,,,,,,,
1845,2006/6/14,333,3,3,3,Wednesday,2006,6,14,,,,,,,,,,,,,,,
1846,2006/6/15,862,8,6,2,Thursday,2006,6,15,,,,,,,,,,,,,,,
1847,2006/6/16,612,6,1,2,Friday,2006,6,16,,,,,,,,,,,,,,,
1848,2006/6/19,696,6,9,6,Monday,2006,6,19,,,,,,,,,,,,,,,
1849,2006/6/20,127,1,2,7,Tuesday,2006,6,20,,,,,,,,,,,,,,,
1850,2006/6/21,691,6,9,1,Wednesday,2006,6,21,,,,,,,,,,,,,,,
1851,2006/6/22,150,1,5,0,Thursday,2006,6,22,,,,,,,,,,,,,,,
1852,2006/6/23,572,5,7,2,Friday,2006,6,23,,,,,,,,,,,,,,,
1853,2006/6/26,420,4,2,0,Monday,2006,6,26,,,,,,,,,,,,,,,
1854,2006/6/27,980,9,8,0,Tuesday,2006,6,27,,,,,,,,,,,,,,,
1855,2006/6/28,567,5,6,7,Wednesday,2006,6,28,,,,,,,,,,,,,,,
1856,2006/6/29,618,6,1,8,Thursday,2006,6,29,,,,,,,,,,,,,,,
1857,2006/6/30,218,2,1,8,Friday,2006,6,30,,,,,,,,,,,,,,,
1858,2006/7/3,878,8,7,8,Monday,2006,7,3,,,,,,,,,,,,,,,
1859,2006/7/4,878,8,7,8,Tuesday,2006,7,4,,,,,,,,,,,,,,,
1860,2006/7/5,117,1,1,7,Wednesday,2006,7,5,,,,,,,,,,,,,,,
1861,2006/7/6,95,0,9,5,Thursday,2006,7,6,,,,,,,,,,,,,,,
1862,2006/7/7,890,8,9,0,Friday,2006,7,7,,,,,,,,,,,,,,,
1863,2006/7/10,236,2,3,6,Monday,2006,7,10,,,,,,,,,,,,,,,
1864,2006/7/11,926,9,2,6,Tuesday,2006,7,11,,,,,,,,,,,,,,,
1865,2006/7/12,299,2,9,9,Wednesday,2006,7,12,,,,,,,,,,,,,,,
1866,2006/7/13,675,6,7,5,Thursday,2006,7,13,,,,,,,,,,,,,,,
1867,2006/7/14,702,7,0,2,Friday,2006,7,14,,,,,,,,,,,,,,,
1868,2006/7/17,733,7,3,3,Monday,2006,7,17,,,,,,,,,,,,,,,
1869,2006/7/18,544,5,4,4,Tuesday,2006,7,18,,,,,,,,,,,,,,,
1870,2006/7/19,847,8,4,7,Wednesday,2006,7,19,,,,,,,,,,,,,,,
1871,2006/7/20,973,9,7,3,Thursday,2006,7,20,,,,,,,,,,,,,,,
1872,2006/7/21,496,4,9,6,Friday,2006,7,21,,,,,,,,,,,,,,,
1873,2006/7/24,638,6,3,8,Monday,2006,7,24,,,,,,,,,,,,,,,
1874,2006/7/25,806,8,0,6,Tuesday,2006,7,25,,,,,,,,,,,,,,,
1875,2006/7/26,666,6,6,6,Wednesday,2006,7,26,,,,,,,,,,,,,,,
1876,2006/7/27,129,1,2,9,Thursday,2006,7,27,,,,,,,,,,,,,,,
1877,2006/7/28,190,1,9,0,Friday,2006,7,28,,,,,,,,,,,,,,,
1878,2006/7/31,141,1,4,1,Monday,2006,7,31,,,,,,,,,,,,,,,
1879,2006/8/1,742,7,4,2,Tuesday,2006,8,1,,,,,,,,,,,,,,,
1880,2006/8/2,674,6,7,4,Wednesday,2006,8,2,,,,,,,,,,,,,,,
1881,2006/8/3,558,5,5,8,Thursday,2006,8,3,,,,,,,,,,,,,,,
1882,2006/8/4,914,9,1,4,Friday,2006,8,4,,,,,,,,,,,,,,,
1883,2006/8/7,76,0,7,6,Monday,2006,8,7,,,,,,,,,,,,,,,
1884,2006/8/8,528,5,2,8,Tuesday,2006,8,8,,,,,,,,,,,,,,,
1885,2006/8/9,51,0,5,1,Wednesday,2006,8,9,,,,,,,,,,,,,,,
1886,2006/8/10,932,9,3,2,Thursday,2006,8,10,,,,,,,,,,,,,,,
1887,2006/8/11,172,1,7,2,Friday,2006,8,11,,,,,,,,,,,,,,,
1888,2006/8/14,370,3,7,0,Monday,2006,8,14,,,,,,,,,,,,,,,
1889,2006/8/15,647,6,4,7,Tuesday,2006,8,15,,,,,,,,,,,,,,,
1890,2006/8/16,269,2,6,9,Wednesday,2006,8,16,,,,,,,,,,,,,,,
1891,2006/8/17,924,9,2,4,Thursday,2006,8,17,,,,,,,,,,,,,,,
1892,2006/8/18,183,1,8,3,Friday,2006,8,18,,,,,,,,,,,,,,,
1893,2006/8/21,856,8,5,6,Monday,2006,8,21,,,,,,,,,,,,,,,
1894,2006/8/22,273,2,7,3,Tuesday,2006,8,22,,,,,,,,,,,,,,,
1895,2006/8/23,937,9,3,7,Wednesday,2006,8,23,,,,,,,,,,,,,,,
1896,2006/8/24,656,6,5,6,Thursday,2006,8,24,,,,,,,,,,,,,,,
1897,2006/8/25,924,9,2,4,Friday,2006,8,25,,,,,,,,,,,,,,,
1898,2006/8/28,321,3,2,1,Monday,2006,8,28,,,,,,,,,,,,,,,
1899,2006/8/29,374,3,7,4,Tuesday,2006,8,29,,,,,,,,,,,,,,,
1900,2006/8/30,845,8,4,5,Wednesday,2006,8,30,,,,,,,,,,,,,,,
1901,2006/8/31,535,5,3,5,Thursday,2006,8,31,,,,,,,,,,,,,,,
1902,2006/9/1,899,8,9,9,Friday,2006,9,1,,,,,,,,,,,,,,,
1903,2006/9/4,349,3,4,9,Monday,2006,9,4,,,,,,,,,,,,,,,
1904,2006/9/5,874,8,7,4,Tuesday,2006,9,5,,,,,,,,,,,,,,,
1905,2006/9/6,104,1,0,4,Wednesday,2006,9,6,,,,,,,,,,,,,,,
1906,2006/9/7,522,5,2,2,Thursday,2006,9,7,,,,,,,,,,,,,,,
1907,2006/9/8,815,8,1,5,Friday,2006,9,8,,,,,,,,,,,,,,,
1908,2006/9/11,892,8,9,2,Monday,2006,9,11,,,,,,,,,,,,,,,
1909,2006/9/12,859,8,5,9,Tuesday,2006,9,12,,,,,,,,,,,,,,,
1910,2006/9/13,468,4,6,8,Wednesday,2006,9,13,,,,,,,,,,,,,,,
1911,2006/9/14,62,0,6,2,Thursday,2006,9,14,,,,,,,,,,,,,,,
1912,2006/9/15,19,0,1,9,Friday,2006,9,15,,,,,,,,,,,,,,,
1913,2006/9/18,121,1,2,1,Monday,2006,9,18,,,,,,,,,,,,,,,
1914,2006/9/19,955,9,5,5,Tuesday,2006,9,19,,,,,,,,,,,,,,,
1915,2006/9/20,918,9,1,8,Wednesday,2006,9,20,,,,,,,,,,,,,,,
1916,2006/9/21,586,5,8,6,Thursday,2006,9,21,,,,,,,,,,,,,,,
1917,2006/9/22,875,8,7,5,Friday,2006,9,22,,,,,,,,,,,,,,,
1918,2006/9/25,402,4,0,2,Monday,2006,9,25,,,,,,,,,,,,,,,
1919,2006/9/26,161,1,6,1,Tuesday,2006,9,26,,,,,,,,,,,,,,,
1920,2006/9/27,898,8,9,8,Wednesday,2006,9,27,,,,,,,,,,,,,,,
1921,2006/9/28,890,8,9,0,Thursday,2006,9,28,,,,,,,,,,,,,,,
1922,2006/9/29,448,4,4,8,Friday,2006,9,29,,,,,,,,,,,,,,,
1923,2006/10/2,633,6,3,3,Monday,2006,10,2,,,,,,,,,,,,,,,
1924,2006/10/3,461,4,6,1,Tuesday,2006,10,3,,,,,,,,,,,,,,,
1925,2006/10/4,757,7,5,7,Wednesday,2006,10,4,,,,,,,,,,,,,,,
1926,2006/10/5,924,9,2,4,Thursday,2006,10,5,,,,,,,,,,,,,,,
1927,2006/10/6,813,8,1,3,Friday,2006,10,6,,,,,,,,,,,,,,,
1928,2006/10/9,113,1,1,3,Monday,2006,10,9,,,,,,,,,,,,,,,
1929,2006/10/10,874,8,7,4,Tuesday,2006,10,10,,,,,,,,,,,,,,,
1930,2006/10/11,402,4,0,2,Wednesday,2006,10,11,,,,,,,,,,,,,,,
1931,2006/10/12,595,5,9,5,Thursday,2006,10,12,,,,,,,,,,,,,,,
1932,2006/10/13,887,8,8,7,Friday,2006,10,13,,,,,,,,,,,,,,,
1933,2006/10/16,559,5,5,9,Monday,2006,10,16,,,,,,,,,,,,,,,
1934,2006/10/17,700,7,0,0,Tuesday,2006,10,17,,,,,,,,,,,,,,,
1935,2006/10/18,236,2,3,6,Wednesday,2006,10,18,,,,,,,,,,,,,,,
1936,2006/10/19,113,1,1,3,Thursday,2006,10,19,,,,,,,,,,,,,,,
1937,2006/10/20,703,7,0,3,Friday,2006,10,20,,,,,,,,,,,,,,,
1938,2006/10/23,243,2,4,3,Monday,2006,10,23,,,,,,,,,,,,,,,
1939,2006/10/24,286,2,8,6,Tuesday,2006,10,24,,,,,,,,,,,,,,,
1940,2006/10/25,440,4,4,0,Wednesday,2006,10,25,,,,,,,,,,,,,,,
1941,2006/10/26,483,4,8,3,Thursday,2006,10,26,,,,,,,,,,,,,,,
1942,2006/10/27,850,8,5,0,Friday,2006,10,27,,,,,,,,,,,,,,,
1943,2006/10/30,588,5,8,8,Monday,2006,10,30,,,,,,,,,,,,,,,
1944,2006/10/31,121,1,2,1,Tuesday,2006,10,31,,,,,,,,,,,,,,,
1945,2006/11/1,855,8,5,5,Wednesday,2006,11,1,,,,,,,,,,,,,,,
1946,2006/11/2,679,6,7,9,Thursday,2006,11,2,,,,,,,,,,,,,,,
1947,2006/11/3,303,3,0,3,Friday,2006,11,3,,,,,,,,,,,,,,,
1948,2006/11/6,992,9,9,2,Monday,2006,11,6,,,,,,,,,,,,,,,
1949,2006/11/7,713,7,1,3,Tuesday,2006,11,7,,,,,,,,,,,,,,,
1950,2006/11/8,630,6,3,0,Wednesday,2006,11,8,,,,,,,,,,,,,,,
1951,2006/11/9,663,6,6,3,Thursday,2006,11,9,,,,,,,,,,,,,,,
1952,2006/11/10,368,3,6,8,Friday,2006,11,10,,,,,,,,,,,,,,,
1953,2006/11/13,972,9,7,2,Monday,2006,11,13,,,,,,,,,,,,,,,
1954,2006/11/14,131,1,3,1,Tuesday,2006,11,14,,,,,,,,,,,,,,,
1955,2006/11/15,861,8,6,1,Wednesday,2006,11,15,,,,,,,,,,,,,,,
1956,2006/11/16,432,4,3,2,Thursday,2006,11,16,,,,,,,,,,,,,,,
1957,2006/11/17,414,4,1,4,Friday,2006,11,17,,,,,,,,,,,,,,,
1958,2006/11/20,312,3,1,2,Monday,2006,11,20,,,,,,,,,,,,,,,
1959,2006/11/21,192,1,9,2,Tuesday,2006,11,21,,,,,,,,,,,,,,,
1960,2006/11/22,460,4,6,0,Wednesday,2006,11,22,,,,,,,,,,,,,,,
1961,2006/11/23,92,0,9,2,Thursday,2006,11,23,,,,,,,,,,,,,,,
1962,2006/11/24,395,3,9,5,Friday,2006,11,24,,,,,,,,,,,,,,,
1963,2006/11/27,697,6,9,7,Monday,2006,11,27,,,,,,,,,,,,,,,
1964,2006/11/28,359,3,5,9,Tuesday,2006,11,28,,,,,,,,,,,,,,,
1965,2006/11/29,42,0,4,2,Wednesday,2006,11,29,,,,,,,,,,,,,,,
1966,2006/11/30,826,8,2,6,Thursday,2006,11,30,,,,,,,,,,,,,,,
1967,2006/12/1,533,5,3,3,Friday,2006,12,1,,,,,,,,,,,,,,,
1968,2006/12/4,407,4,0,7,Monday,2006,12,4,,,,,,,,,,,,,,,
1969,2006/12/5,675,6,7,5,Tuesday,2006,12,5,,,,,,,,,,,,,,,
1970,2006/12/6,455,4,5,5,Wednesday,2006,12,6,,,,,,,,,,,,,,,
1971,2006/12/7,198,1,9,8,Thursday,2006,12,7,,,,,,,,,,,,,,,
1972,2006/12/8,58,0,5,8,Friday,2006,12,8,,,,,,,,,,,,,,,
1973,2006/12/11,719,7,1,9,Monday,2006,12,11,,,,,,,,,,,,,,,
1974,2006/12/12,692,6,9,2,Tuesday,2006,12,12,,,,,,,,,,,,,,,
1975,2006/12/13,49,0,4,9,Wednesday,2006,12,13,,,,,,,,,,,,,,,
1976,2006/12/14,555,5,5,5,Thursday,2006,12,14,,,,,,,,,,,,,,,
1977,2006/12/15,536,5,3,6,Friday,2006,12,15,,,,,,,,,,,,,,,
1978,2006/12/18,649,6,4,9,Monday,2006,12,18,,,,,,,,,,,,,,,
1979,2006/12/19,808,8,0,8,Tuesday,2006,12,19,,,,,,,,,,,,,,,
1980,2006/12/20,652,6,5,2,Wednesday,2006,12,20,,,,,,,,,,,,,,,
1981,2006/12/21,778,7,7,8,Thursday,2006,12,21,,,,,,,,,,,,,,,
1982,2006/12/22,833,8,3,3,Friday,2006,12,22,,,,,,,,,,,,,,,
1983,2006/12/25,218,2,1,8,Monday,2006,12,25,,,,,,,,,,,,,,,
1984,2006/12/26,258,2,5,8,Tuesday,2006,12,26,,,,,,,,,,,,,,,
1985,2006/12/27,824,8,2,4,Wednesday,2006,12,27,,,,,,,,,,,,,,,
1986,2006/12/28,129,1,2,9,Thursday,2006,12,28,,,,,,,,,,,,,,,
1987,2006/12/29,61,0,6,1,Friday,2006,12,29,,,,,,,,,,,,,,,
1988,2007/1/4,90,0,9,0,Thursday,2007,1,4,,,,,,,,,,,,,,,
1989,2007/1/5,942,9,4,2,Friday,2007,1,5,,,,,,,,,,,,,,,
1990,2007/1/8,726,7,2,6,Monday,2007,1,8,,,,,,,,,,,,,,,
1991,2007/1/9,522,5,2,2,Tuesday,2007,1,9,,,,,,,,,,,,,,,
1992,2007/1/10,949,9,4,9,Wednesday,2007,1,10,,,,,,,,,,,,,,,
1993,2007/1/11,438,4,3,8,Thursday,2007,1,11,,,,,,,,,,,,,,,
1994,2007/1/12,305,3,0,5,Friday,2007,1,12,,,,,,,,,,,,,,,
1995,2007/1/15,847,8,4,7,Monday,2007,1,15,,,,,,,,,,,,,,,
1996,2007/1/16,581,5,8,1,Tuesday,2007,1,16,,,,,,,,,,,,,,,
1997,2007/1/17,908,9,0,8,Wednesday,2007,1,17,,,,,,,,,,,,,,,
1998,2007/1/18,580,5,8,0,Thursday,2007,1,18,,,,,,,,,,,,,,,
1999,2007/1/19,900,9,0,0,Friday,2007,1,19,,,,,,,,,,,,,,,
2000,2007/1/22,440,4,4,0,Monday,2007,1,22,,,,,,,,,,,,,,,
2001,2007/1/23,325,3,2,5,Tuesday,2007,1,23,,,,,,,,,,,,,,,
2002,2007/1/24,567,5,6,7,Wednesday,2007,1,24,,,,,,,,,,,,,,,
2003,2007/1/25,537,5,3,7,Thursday,2007,1,25,,,,,,,,,,,,,,,
2004,2007/1/26,810,8,1,0,Friday,2007,1,26,,,,,,,,,,,,,,,
2005,2007/1/29,525,5,2,5,Monday,2007,1,29,,,,,,,,,,,,,,,
2006,2007/1/30,574,5,7,4,Tuesday,2007,1,30,,,,,,,,,,,,,,,
