id,issue number,date,number,place1,place2,place3,day of week
3360,‘æ3360‰ñ,2012/4/26,322,3,2,2,Thursday
3361,‘æ3361‰ñ,2012/4/27,564,5,6,4,Friday
3362,‘æ3362‰ñ,2012/4/30,448,4,4,8,Monday
3363,‘æ3363‰ñ,2012/5/1,905,9,0,5,Tuesday
3364,‘æ3364‰ñ,2012/5/2,138,1,3,8,Wednesday
3365,‘æ3365‰ñ,2012/5/3,64,0,6,4,Thursday
3366,‘æ3366‰ñ,2012/5/4,409,4,0,9,Friday
3367,‘æ3367‰ñ,2012/5/7,701,7,0,1,Monday
3368,‘æ3368‰ñ,2012/5/8,685,6,8,5,Tuesday
3369,‘æ3369‰ñ,2012/5/9,214,2,1,4,Wednesday
3370,‘æ3370‰ñ,2012/5/10,535,5,3,5,Thursday
3371,‘æ3371‰ñ,2012/5/11,439,4,3,9,Friday
3372,‘æ3372‰ñ,2012/5/14,301,3,0,1,Monday
3373,‘æ3373‰ñ,2012/5/15,709,7,0,9,Tuesday
3374,‘æ3374‰ñ,2012/5/16,286,2,8,6,Wednesday
3375,‘æ3375‰ñ,2012/5/17,885,8,8,5,Thursday
3376,‘æ3376‰ñ,2012/5/18,156,1,5,6,Friday
3377,‘æ3377‰ñ,2012/5/21,828,8,2,8,Monday
3378,‘æ3378‰ñ,2012/5/22,768,7,6,8,Tuesday
3379,‘æ3379‰ñ,2012/5/23,73,0,7,3,Wednesday
3380,‘æ3380‰ñ,2012/5/24,547,5,4,7,Thursday
3381,‘æ3381‰ñ,2012/5/25,262,2,6,2,Friday
3382,‘æ3382‰ñ,2012/5/28,320,3,2,0,Monday
3383,‘æ3383‰ñ,2012/5/29,538,5,3,8,Tuesday
3384,‘æ3384‰ñ,2012/5/30,38,0,3,8,Wednesday
3385,‘æ3385‰ñ,2012/5/31,975,9,7,5,Thursday
3386,‘æ3386‰ñ,2012/6/1,729,7,2,9,Friday
3387,‘æ3387‰ñ,2012/6/4,221,2,2,1,Monday
3388,‘æ3388‰ñ,2012/6/5,819,8,1,9,Tuesday
3389,‘æ3389‰ñ,2012/6/6,917,9,1,7,Wednesday
3390,‘æ3390‰ñ,2012/6/7,197,1,9,7,Thursday
3391,‘æ3391‰ñ,2012/6/8,696,6,9,6,Friday
3392,‘æ3392‰ñ,2012/6/11,600,6,0,0,Monday
3393,‘æ3393‰ñ,2012/6/12,98,0,9,8,Tuesday
3394,‘æ3394‰ñ,2012/6/13,194,1,9,4,Wednesday
3395,‘æ3395‰ñ,2012/6/14,495,4,9,5,Thursday
3396,‘æ3396‰ñ,2012/6/15,51,0,5,1,Friday
3397,‘æ3397‰ñ,2012/6/18,826,8,2,6,Monday
3398,‘æ3398‰ñ,2012/6/19,137,1,3,7,Tuesday
3399,‘æ3399‰ñ,2012/6/20,486,4,8,6,Wednesday
3400,‘æ3400‰ñ,2012/6/21,714,7,1,4,Thursday
3401,‘æ3401‰ñ,2012/6/22,811,8,1,1,Friday
3402,‘æ3402‰ñ,2012/6/25,523,5,2,3,Monday
3403,‘æ3403‰ñ,2012/6/26,357,3,5,7,Tuesday
3404,‘æ3404‰ñ,2012/6/27,884,8,8,4,Wednesday
3405,‘æ3405‰ñ,2012/6/28,819,8,1,9,Thursday
3406,‘æ3406‰ñ,2012/6/29,410,4,1,0,Friday
3407,‘æ3407‰ñ,2012/7/2,835,8,3,5,Monday
3408,‘æ3408‰ñ,2012/7/3,77,0,7,7,Tuesday
3409,‘æ3409‰ñ,2012/7/4,851,8,5,1,Wednesday
3410,‘æ3410‰ñ,2012/7/5,550,5,5,0,Thursday
3411,‘æ3411‰ñ,2012/7/6,148,1,4,8,Friday
3412,‘æ3412‰ñ,2012/7/9,92,0,9,2,Monday
3413,‘æ3413‰ñ,2012/7/10,738,7,3,8,Tuesday
3414,‘æ3414‰ñ,2012/7/11,34,0,3,4,Wednesday
3415,‘æ3415‰ñ,2012/7/12,612,6,1,2,Thursday
3416,‘æ3416‰ñ,2012/7/13,680,6,8,0,Friday
3417,‘æ3417‰ñ,2012/7/16,47,0,4,7,Monday
3418,‘æ3418‰ñ,2012/7/17,544,5,4,4,Tuesday
3419,‘æ3419‰ñ,2012/7/18,825,8,2,5,Wednesday
3420,‘æ3420‰ñ,2012/7/19,377,3,7,7,Thursday
3421,‘æ3421‰ñ,2012/7/20,515,5,1,5,Friday
3422,‘æ3422‰ñ,2012/7/23,615,6,1,5,Monday
3423,‘æ3423‰ñ,2012/7/24,59,0,5,9,Tuesday
3424,‘æ3424‰ñ,2012/7/25,899,8,9,9,Wednesday
3425,‘æ3425‰ñ,2012/7/26,506,5,0,6,Thursday
3426,‘æ3426‰ñ,2012/7/27,726,7,2,6,Friday
3427,‘æ3427‰ñ,2012/7/30,486,4,8,6,Monday
3428,‘æ3428‰ñ,2012/7/31,916,9,1,6,Tuesday
3429,‘æ3429‰ñ,2012/8/1,568,5,6,8,Wednesday
3430,‘æ3430‰ñ,2012/8/2,261,2,6,1,Thursday
3431,‘æ3431‰ñ,2012/8/3,360,3,6,0,Friday
3432,‘æ3432‰ñ,2012/8/6,55,0,5,5,Monday
3433,‘æ3433‰ñ,2012/8/7,788,7,8,8,Tuesday
3434,‘æ3434‰ñ,2012/8/8,121,1,2,1,Wednesday
3435,‘æ3435‰ñ,2012/8/9,343,3,4,3,Thursday
3436,‘æ3436‰ñ,2012/8/10,90,0,9,0,Friday
3437,‘æ3437‰ñ,2012/8/13,302,3,0,2,Monday
3438,‘æ3438‰ñ,2012/8/14,333,3,3,3,Tuesday
3439,‘æ3439‰ñ,2012/8/15,430,4,3,0,Wednesday
3440,‘æ3440‰ñ,2012/8/16,979,9,7,9,Thursday
3441,‘æ3441‰ñ,2012/8/17,911,9,1,1,Friday
3442,‘æ3442‰ñ,2012/8/20,689,6,8,9,Monday
3443,‘æ3443‰ñ,2012/8/21,656,6,5,6,Tuesday
3444,‘æ3444‰ñ,2012/8/22,810,8,1,0,Wednesday
3445,‘æ3445‰ñ,2012/8/23,514,5,1,4,Thursday
3446,‘æ3446‰ñ,2012/8/24,537,5,3,7,Friday
3447,‘æ3447‰ñ,2012/8/27,99,0,9,9,Monday
3448,‘æ3448‰ñ,2012/8/28,282,2,8,2,Tuesday
3449,‘æ3449‰ñ,2012/8/29,887,8,8,7,Wednesday
3450,‘æ3450‰ñ,2012/8/30,526,5,2,6,Thursday
3451,‘æ3451‰ñ,2012/8/31,310,3,1,0,Friday
3452,‘æ3452‰ñ,2012/9/3,458,4,5,8,Monday
3453,‘æ3453‰ñ,2012/9/4,357,3,5,7,Tuesday
3454,‘æ3454‰ñ,2012/9/5,748,7,4,8,Wednesday
3455,‘æ3455‰ñ,2012/9/6,988,9,8,8,Thursday
3456,‘æ3456‰ñ,2012/9/7,926,9,2,6,Friday
3457,‘æ3457‰ñ,2012/9/10,351,3,5,1,Monday
3458,‘æ3458‰ñ,2012/9/11,185,1,8,5,Tuesday
3459,‘æ3459‰ñ,2012/9/12,441,4,4,1,Wednesday
3460,‘æ3460‰ñ,2012/9/13,124,1,2,4,Thursday
3461,‘æ3461‰ñ,2012/9/14,445,4,4,5,Friday
3462,‘æ3462‰ñ,2012/9/17,784,7,8,4,Monday
3463,‘æ3463‰ñ,2012/9/18,731,7,3,1,Tuesday
3464,‘æ3464‰ñ,2012/9/19,728,7,2,8,Wednesday
3465,‘æ3465‰ñ,2012/9/20,49,0,4,9,Thursday
3466,‘æ3466‰ñ,2012/9/21,59,0,5,9,Friday
3467,‘æ3467‰ñ,2012/9/24,715,7,1,5,Monday
3468,‘æ3468‰ñ,2012/9/25,100,1,0,0,Tuesday
3469,‘æ3469‰ñ,2012/9/26,466,4,6,6,Wednesday
3470,‘æ3470‰ñ,2012/9/27,660,6,6,0,Thursday
3471,‘æ3471‰ñ,2012/9/28,928,9,2,8,Friday
3472,‘æ3472‰ñ,2012/10/1,274,2,7,4,Monday
3473,‘æ3473‰ñ,2012/10/2,298,2,9,8,Tuesday
3474,‘æ3474‰ñ,2012/10/3,498,4,9,8,Wednesday
3475,‘æ3475‰ñ,2012/10/4,116,1,1,6,Thursday
3476,‘æ3476‰ñ,2012/10/5,851,8,5,1,Friday
3477,‘æ3477‰ñ,2012/10/8,782,7,8,2,Monday
3478,‘æ3478‰ñ,2012/10/9,144,1,4,4,Tuesday
3479,‘æ3479‰ñ,2012/10/10,42,0,4,2,Wednesday
3480,‘æ3480‰ñ,2012/10/11,612,6,1,2,Thursday
3481,‘æ3481‰ñ,2012/10/12,472,4,7,2,Friday
3482,‘æ3482‰ñ,2012/10/15,63,0,6,3,Monday
3483,‘æ3483‰ñ,2012/10/16,236,2,3,6,Tuesday
3484,‘æ3484‰ñ,2012/10/17,33,0,3,3,Wednesday
3485,‘æ3485‰ñ,2012/10/18,662,6,6,2,Thursday
3486,‘æ3486‰ñ,2012/10/19,320,3,2,0,Friday
3487,‘æ3487‰ñ,2012/10/22,714,7,1,4,Monday
3488,‘æ3488‰ñ,2012/10/23,240,2,4,0,Tuesday
3489,‘æ3489‰ñ,2012/10/24,341,3,4,1,Wednesday
3490,‘æ3490‰ñ,2012/10/25,837,8,3,7,Thursday
3491,‘æ3491‰ñ,2012/10/26,697,6,9,7,Friday
3492,‘æ3492‰ñ,2012/10/29,480,4,8,0,Monday
3493,‘æ3493‰ñ,2012/10/30,804,8,0,4,Tuesday
3494,‘æ3494‰ñ,2012/10/31,264,2,6,4,Wednesday
3495,‘æ3495‰ñ,2012/11/1,778,7,7,8,Thursday
3496,‘æ3496‰ñ,2012/11/2,561,5,6,1,Friday
3497,‘æ3497‰ñ,2012/11/5,620,6,2,0,Monday
3498,‘æ3498‰ñ,2012/11/6,44,0,4,4,Tuesday
3499,‘æ3499‰ñ,2012/11/7,85,0,8,5,Wednesday
3500,‘æ3500‰ñ,2012/11/8,966,9,6,6,Thursday
3501,‘æ3501‰ñ,2012/11/9,666,6,6,6,Friday
3502,‘æ3502‰ñ,2012/11/12,781,7,8,1,Monday
3503,‘æ3503‰ñ,2012/11/13,19,0,1,9,Tuesday
3504,‘æ3504‰ñ,2012/11/14,605,6,0,5,Wednesday
3505,‘æ3505‰ñ,2012/11/15,495,4,9,5,Thursday
3506,‘æ3506‰ñ,2012/11/16,464,4,6,4,Friday
3507,‘æ3507‰ñ,2012/11/19,713,7,1,3,Monday
3508,‘æ3508‰ñ,2012/11/20,776,7,7,6,Tuesday
3509,‘æ3509‰ñ,2012/11/21,872,8,7,2,Wednesday
3510,‘æ3510‰ñ,2012/11/22,307,3,0,7,Thursday
3511,‘æ3511‰ñ,2012/11/23,369,3,6,9,Friday
3512,‘æ3512‰ñ,2012/11/26,204,2,0,4,Monday
3513,‘æ3513‰ñ,2012/11/27,660,6,6,0,Tuesday
3514,‘æ3514‰ñ,2012/11/28,195,1,9,5,Wednesday
3515,‘æ3515‰ñ,2012/11/29,950,9,5,0,Thursday
3516,‘æ3516‰ñ,2012/11/30,943,9,4,3,Friday
3517,‘æ3517‰ñ,2012/12/3,217,2,1,7,Monday
3518,‘æ3518‰ñ,2012/12/4,798,7,9,8,Tuesday
3519,‘æ3519‰ñ,2012/12/5,793,7,9,3,Wednesday
3520,‘æ3520‰ñ,2012/12/6,931,9,3,1,Thursday
3521,‘æ3521‰ñ,2012/12/7,167,1,6,7,Friday
3522,‘æ3522‰ñ,2012/12/10,540,5,4,0,Monday
3523,‘æ3523‰ñ,2012/12/11,776,7,7,6,Tuesday
3524,‘æ3524‰ñ,2012/12/12,249,2,4,9,Wednesday
3525,‘æ3525‰ñ,2012/12/13,374,3,7,4,Thursday
3526,‘æ3526‰ñ,2012/12/14,282,2,8,2,Friday
3527,‘æ3527‰ñ,2012/12/17,141,1,4,1,Monday
3528,‘æ3528‰ñ,2012/12/18,199,1,9,9,Tuesday
3529,‘æ3529‰ñ,2012/12/19,36,0,3,6,Wednesday
3530,‘æ3530‰ñ,2012/12/20,619,6,1,9,Thursday
3531,‘æ3531‰ñ,2012/12/21,273,2,7,3,Friday
3532,‘æ3532‰ñ,2012/12/24,579,5,7,9,Monday
3533,‘æ3533‰ñ,2012/12/25,296,2,9,6,Tuesday
3534,‘æ3534‰ñ,2012/12/26,426,4,2,6,Wednesday
3535,‘æ3535‰ñ,2012/12/27,836,8,3,6,Thursday
3536,‘æ3536‰ñ,2012/12/28,889,8,8,9,Friday
3537,‘æ3537‰ñ,2013/1/4,609,6,0,9,Friday
3538,‘æ3538‰ñ,2013/1/7,778,7,7,8,Monday
3539,‘æ3539‰ñ,2013/1/8,877,8,7,7,Tuesday
3540,‘æ3540‰ñ,2013/1/9,239,2,3,9,Wednesday
3541,‘æ3541‰ñ,2013/1/10,240,2,4,0,Thursday
3542,‘æ3542‰ñ,2013/1/11,44,0,4,4,Friday
3543,‘æ3543‰ñ,2013/1/14,238,2,3,8,Monday
3544,‘æ3544‰ñ,2013/1/15,447,4,4,7,Tuesday
3545,‘æ3545‰ñ,2013/1/16,663,6,6,3,Wednesday
3546,‘æ3546‰ñ,2013/1/17,433,4,3,3,Thursday
3547,‘æ3547‰ñ,2013/1/18,228,2,2,8,Friday
3548,‘æ3548‰ñ,2013/1/21,871,8,7,1,Monday
3549,‘æ3549‰ñ,2013/1/22,68,0,6,8,Tuesday
3550,‘æ3550‰ñ,2013/1/23,352,3,5,2,Wednesday
3551,‘æ3551‰ñ,2013/1/24,794,7,9,4,Thursday
3552,‘æ3552‰ñ,2013/1/25,272,2,7,2,Friday
3553,‘æ3553‰ñ,2013/1/28,481,4,8,1,Monday
3554,‘æ3554‰ñ,2013/1/29,533,5,3,3,Tuesday
3555,‘æ3555‰ñ,2013/1/30,15,0,1,5,Wednesday
3556,‘æ3556‰ñ,2013/1/31,158,1,5,8,Thursday
3557,‘æ3557‰ñ,2013/2/1,844,8,4,4,Friday
3558,‘æ3558‰ñ,2013/2/4,258,2,5,8,Monday
3559,‘æ3559‰ñ,2013/2/5,300,3,0,0,Tuesday
3560,‘æ3560‰ñ,2013/2/6,68,0,6,8,Wednesday
3561,‘æ3561‰ñ,2013/2/7,252,2,5,2,Thursday
3562,‘æ3562‰ñ,2013/2/8,199,1,9,9,Friday
3563,‘æ3563‰ñ,2013/2/11,481,4,8,1,Monday
3564,‘æ3564‰ñ,2013/2/12,731,7,3,1,Tuesday
3565,‘æ3565‰ñ,2013/2/13,381,3,8,1,Wednesday
3566,‘æ3566‰ñ,2013/2/14,507,5,0,7,Thursday
3567,‘æ3567‰ñ,2013/2/15,574,5,7,4,Friday
3568,‘æ3568‰ñ,2013/2/18,972,9,7,2,Monday
3569,‘æ3569‰ñ,2013/2/19,139,1,3,9,Tuesday
3570,‘æ3570‰ñ,2013/2/20,230,2,3,0,Wednesday
3571,‘æ3571‰ñ,2013/2/21,396,3,9,6,Thursday
3572,‘æ3572‰ñ,2013/2/22,728,7,2,8,Friday
3573,‘æ3573‰ñ,2013/2/25,751,7,5,1,Monday
3574,‘æ3574‰ñ,2013/2/26,199,1,9,9,Tuesday
3575,‘æ3575‰ñ,2013/2/27,181,1,8,1,Wednesday
3576,‘æ3576‰ñ,2013/2/28,717,7,1,7,Thursday
3577,‘æ3577‰ñ,2013/3/1,837,8,3,7,Friday
3578,‘æ3578‰ñ,2013/3/4,723,7,2,3,Monday
3579,‘æ3579‰ñ,2013/3/5,797,7,9,7,Tuesday
3580,‘æ3580‰ñ,2013/3/6,473,4,7,3,Wednesday
3581,‘æ3581‰ñ,2013/3/7,158,1,5,8,Thursday
3582,‘æ3582‰ñ,2013/3/8,168,1,6,8,Friday
3583,‘æ3583‰ñ,2013/3/11,898,8,9,8,Monday
3584,‘æ3584‰ñ,2013/3/12,986,9,8,6,Tuesday
3585,‘æ3585‰ñ,2013/3/13,980,9,8,0,Wednesday
3586,‘æ3586‰ñ,2013/3/14,528,5,2,8,Thursday
3587,‘æ3587‰ñ,2013/3/15,888,8,8,8,Friday
3588,‘æ3588‰ñ,2013/3/18,369,3,6,9,Monday
3589,‘æ3589‰ñ,2013/3/19,349,3,4,9,Tuesday
3590,‘æ3590‰ñ,2013/3/20,333,3,3,3,Wednesday
3591,‘æ3591‰ñ,2013/3/21,735,7,3,5,Thursday
3592,‘æ3592‰ñ,2013/3/22,448,4,4,8,Friday
3593,‘æ3593‰ñ,2013/3/25,291,2,9,1,Monday
3594,‘æ3594‰ñ,2013/3/26,782,7,8,2,Tuesday
3595,‘æ3595‰ñ,2013/3/27,538,5,3,8,Wednesday
3596,‘æ3596‰ñ,2013/3/28,510,5,1,0,Thursday
3597,‘æ3597‰ñ,2013/3/29,259,2,5,9,Friday
3598,‘æ3598‰ñ,2013/4/1,44,0,4,4,Monday
3599,‘æ3599‰ñ,2013/4/2,344,3,4,4,Tuesday
3600,‘æ3600‰ñ,2013/4/3,893,8,9,3,Wednesday
3601,‘æ3601‰ñ,2013/4/4,422,4,2,2,Thursday
3602,‘æ3602‰ñ,2013/4/5,318,3,1,8,Friday
3603,‘æ3603‰ñ,2013/4/8,233,2,3,3,Monday
3604,‘æ3604‰ñ,2013/4/9,582,5,8,2,Tuesday
3605,‘æ3605‰ñ,2013/4/10,45,0,4,5,Wednesday
3606,‘æ3606‰ñ,2013/4/11,102,1,0,2,Thursday
3607,‘æ3607‰ñ,2013/4/12,318,3,1,8,Friday
3608,‘æ3608‰ñ,2013/4/15,760,7,6,0,Monday
3609,‘æ3609‰ñ,2013/4/16,210,2,1,0,Tuesday
3610,‘æ3610‰ñ,2013/4/17,114,1,1,4,Wednesday
3611,‘æ3611‰ñ,2013/4/18,44,0,4,4,Thursday
3612,‘æ3612‰ñ,2013/4/19,3,0,0,3,Friday
3613,‘æ3613‰ñ,2013/4/22,947,9,4,7,Monday
3614,‘æ3614‰ñ,2013/4/23,715,7,1,5,Tuesday
3615,‘æ3615‰ñ,2013/4/24,722,7,2,2,Wednesday
3616,‘æ3616‰ñ,2013/4/25,294,2,9,4,Thursday
3617,‘æ3617‰ñ,2013/4/26,921,9,2,1,Friday
3618,‘æ3618‰ñ,2013/4/29,693,6,9,3,Monday
3619,‘æ3619‰ñ,2013/4/30,706,7,0,6,Tuesday
3620,‘æ3620‰ñ,2013/5/1,104,1,0,4,Wednesday
3621,‘æ3621‰ñ,2013/5/2,832,8,3,2,Thursday
3622,‘æ3622‰ñ,2013/5/3,714,7,1,4,Friday
3623,‘æ3623‰ñ,2013/5/6,160,1,6,0,Monday
3624,‘æ3624‰ñ,2013/5/7,570,5,7,0,Tuesday
3625,‘æ3625‰ñ,2013/5/8,407,4,0,7,Wednesday
3626,‘æ3626‰ñ,2013/5/9,314,3,1,4,Thursday
3627,‘æ3627‰ñ,2013/5/10,34,0,3,4,Friday
3628,‘æ3628‰ñ,2013/5/13,488,4,8,8,Monday
3629,‘æ3629‰ñ,2013/5/14,164,1,6,4,Tuesday
3630,‘æ3630‰ñ,2013/5/15,531,5,3,1,Wednesday
3631,‘æ3631‰ñ,2013/5/16,318,3,1,8,Thursday
3632,‘æ3632‰ñ,2013/5/17,165,1,6,5,Friday
3633,‘æ3633‰ñ,2013/5/20,963,9,6,3,Monday
3634,‘æ3634‰ñ,2013/5/21,444,4,4,4,Tuesday
3635,‘æ3635‰ñ,2013/5/22,244,2,4,4,Wednesday
3636,‘æ3636‰ñ,2013/5/23,899,8,9,9,Thursday
3637,‘æ3637‰ñ,2013/5/24,456,4,5,6,Friday
3638,‘æ3638‰ñ,2013/5/27,345,3,4,5,Monday
3639,‘æ3639‰ñ,2013/5/28,819,8,1,9,Tuesday
3640,‘æ3640‰ñ,2013/5/29,980,9,8,0,Wednesday
3641,‘æ3641‰ñ,2013/5/30,41,0,4,1,Thursday
3642,‘æ3642‰ñ,2013/5/31,953,9,5,3,Friday
3643,‘æ3643‰ñ,2013/6/3,723,7,2,3,Monday
3644,‘æ3644‰ñ,2013/6/4,611,6,1,1,Tuesday
3645,‘æ3645‰ñ,2013/6/5,143,1,4,3,Wednesday
3646,‘æ3646‰ñ,2013/6/6,292,2,9,2,Thursday
3647,‘æ3647‰ñ,2013/6/7,4,0,0,4,Friday
3648,‘æ3648‰ñ,2013/6/10,497,4,9,7,Monday
3649,‘æ3649‰ñ,2013/6/11,137,1,3,7,Tuesday
3650,‘æ3650‰ñ,2013/6/12,378,3,7,8,Wednesday
3651,‘æ3651‰ñ,2013/6/13,165,1,6,5,Thursday
3652,‘æ3652‰ñ,2013/6/14,477,4,7,7,Friday
3653,‘æ3653‰ñ,2013/6/17,883,8,8,3,Monday
3654,‘æ3654‰ñ,2013/6/18,481,4,8,1,Tuesday
3655,‘æ3655‰ñ,2013/6/19,238,2,3,8,Wednesday
3656,‘æ3656‰ñ,2013/6/20,31,0,3,1,Thursday
3657,‘æ3657‰ñ,2013/6/21,527,5,2,7,Friday
3658,‘æ3658‰ñ,2013/6/24,68,0,6,8,Monday
3659,‘æ3659‰ñ,2013/6/25,32,0,3,2,Tuesday
3660,‘æ3660‰ñ,2013/6/26,314,3,1,4,Wednesday
3661,‘æ3661‰ñ,2013/6/27,725,7,2,5,Thursday
3662,‘æ3662‰ñ,2013/6/28,848,8,4,8,Friday
3663,‘æ3663‰ñ,2013/7/1,790,7,9,0,Monday
3664,‘æ3664‰ñ,2013/7/2,307,3,0,7,Tuesday
3665,‘æ3665‰ñ,2013/7/3,587,5,8,7,Wednesday
3666,‘æ3666‰ñ,2013/7/4,812,8,1,2,Thursday
3667,‘æ3667‰ñ,2013/7/5,676,6,7,6,Friday
3668,‘æ3668‰ñ,2013/7/8,551,5,5,1,Monday
3669,‘æ3669‰ñ,2013/7/9,82,0,8,2,Tuesday
3670,‘æ3670‰ñ,2013/7/10,343,3,4,3,Wednesday
3671,‘æ3671‰ñ,2013/7/11,820,8,2,0,Thursday
3672,‘æ3672‰ñ,2013/7/12,456,4,5,6,Friday
3673,‘æ3673‰ñ,2013/7/15,940,9,4,0,Monday
3674,‘æ3674‰ñ,2013/7/16,950,9,5,0,Tuesday
3675,‘æ3675‰ñ,2013/7/17,44,0,4,4,Wednesday
3676,‘æ3676‰ñ,2013/7/18,195,1,9,5,Thursday
3677,‘æ3677‰ñ,2013/7/19,235,2,3,5,Friday
3678,‘æ3678‰ñ,2013/7/22,342,3,4,2,Monday
3679,‘æ3679‰ñ,2013/7/23,293,2,9,3,Tuesday
3680,‘æ3680‰ñ,2013/7/24,346,3,4,6,Wednesday
3681,‘æ3681‰ñ,2013/7/25,740,7,4,0,Thursday
3682,‘æ3682‰ñ,2013/7/26,501,5,0,1,Friday
3683,‘æ3683‰ñ,2013/7/29,333,3,3,3,Monday
3684,‘æ3684‰ñ,2013/7/30,254,2,5,4,Tuesday
3685,‘æ3685‰ñ,2013/7/31,757,7,5,7,Wednesday
3686,‘æ3686‰ñ,2013/8/1,811,8,1,1,Thursday
3687,‘æ3687‰ñ,2013/8/2,914,9,1,4,Friday
3688,‘æ3688‰ñ,2013/8/5,257,2,5,7,Monday
3689,‘æ3689‰ñ,2013/8/6,497,4,9,7,Tuesday
3690,‘æ3690‰ñ,2013/8/7,17,0,1,7,Wednesday
3691,‘æ3691‰ñ,2013/8/8,283,2,8,3,Thursday
3692,‘æ3692‰ñ,2013/8/9,917,9,1,7,Friday
3693,‘æ3693‰ñ,2013/8/12,234,2,3,4,Monday
3694,‘æ3694‰ñ,2013/8/13,78,0,7,8,Tuesday
3695,‘æ3695‰ñ,2013/8/14,155,1,5,5,Wednesday
3696,‘æ3696‰ñ,2013/8/15,801,8,0,1,Thursday
3697,‘æ3697‰ñ,2013/8/16,900,9,0,0,Friday
3698,‘æ3698‰ñ,2013/8/19,155,1,5,5,Monday
3699,‘æ3699‰ñ,2013/8/20,317,3,1,7,Tuesday
3700,‘æ3700‰ñ,2013/8/21,710,7,1,0,Wednesday
3701,‘æ3701‰ñ,2013/8/22,850,8,5,0,Thursday
3702,‘æ3702‰ñ,2013/8/23,294,2,9,4,Friday
3703,‘æ3703‰ñ,2013/8/26,893,8,9,3,Monday
3704,‘æ3704‰ñ,2013/8/27,682,6,8,2,Tuesday
3705,‘æ3705‰ñ,2013/8/28,793,7,9,3,Wednesday
3706,‘æ3706‰ñ,2013/8/29,351,3,5,1,Thursday
3707,‘æ3707‰ñ,2013/8/30,311,3,1,1,Friday
3708,‘æ3708‰ñ,2013/9/2,501,5,0,1,Monday
3709,‘æ3709‰ñ,2013/9/3,204,2,0,4,Tuesday
3710,‘æ3710‰ñ,2013/9/4,975,9,7,5,Wednesday
3711,‘æ3711‰ñ,2013/9/5,536,5,3,6,Thursday
3712,‘æ3712‰ñ,2013/9/6,791,7,9,1,Friday
3713,‘æ3713‰ñ,2013/9/9,547,5,4,7,Monday
3714,‘æ3714‰ñ,2013/9/10,300,3,0,0,Tuesday
3715,‘æ3715‰ñ,2013/9/11,192,1,9,2,Wednesday
3716,‘æ3716‰ñ,2013/9/12,537,5,3,7,Thursday
3717,‘æ3717‰ñ,2013/9/13,511,5,1,1,Friday
3718,‘æ3718‰ñ,2013/9/16,137,1,3,7,Monday
3719,‘æ3719‰ñ,2013/9/17,760,7,6,0,Tuesday
3720,‘æ3720‰ñ,2013/9/18,595,5,9,5,Wednesday
3721,‘æ3721‰ñ,2013/9/19,789,7,8,9,Thursday
3722,‘æ3722‰ñ,2013/9/20,39,0,3,9,Friday
3723,‘æ3723‰ñ,2013/9/23,389,3,8,9,Monday
3724,‘æ3724‰ñ,2013/9/24,613,6,1,3,Tuesday
3725,‘æ3725‰ñ,2013/9/25,825,8,2,5,Wednesday
3726,‘æ3726‰ñ,2013/9/26,236,2,3,6,Thursday
3727,‘æ3727‰ñ,2013/9/27,895,8,9,5,Friday
3728,‘æ3728‰ñ,2013/9/30,817,8,1,7,Monday
3729,‘æ3729‰ñ,2013/10/1,113,1,1,3,Tuesday
3730,‘æ3730‰ñ,2013/10/2,21,0,2,1,Wednesday
3731,‘æ3731‰ñ,2013/10/3,996,9,9,6,Thursday
3732,‘æ3732‰ñ,2013/10/4,865,8,6,5,Friday
3733,‘æ3733‰ñ,2013/10/7,694,6,9,4,Monday
3734,‘æ3734‰ñ,2013/10/8,708,7,0,8,Tuesday
3735,‘æ3735‰ñ,2013/10/9,451,4,5,1,Wednesday
3736,‘æ3736‰ñ,2013/10/10,110,1,1,0,Thursday
3737,‘æ3737‰ñ,2013/10/11,484,4,8,4,Friday
3738,‘æ3738‰ñ,2013/10/14,572,5,7,2,Monday
3739,‘æ3739‰ñ,2013/10/15,355,3,5,5,Tuesday
3740,‘æ3740‰ñ,2013/10/16,249,2,4,9,Wednesday
3741,‘æ3741‰ñ,2013/10/17,896,8,9,6,Thursday
3742,‘æ3742‰ñ,2013/10/18,139,1,3,9,Friday
3743,‘æ3743‰ñ,2013/10/21,77,0,7,7,Monday
3744,‘æ3744‰ñ,2013/10/22,503,5,0,3,Tuesday
3745,‘æ3745‰ñ,2013/10/23,907,9,0,7,Wednesday
3746,‘æ3746‰ñ,2013/10/24,306,3,0,6,Thursday
3747,‘æ3747‰ñ,2013/10/25,693,6,9,3,Friday
3748,‘æ3748‰ñ,2013/10/28,454,4,5,4,Monday
3749,‘æ3749‰ñ,2013/10/29,140,1,4,0,Tuesday
3750,‘æ3750‰ñ,2013/10/30,348,3,4,8,Wednesday
3751,‘æ3751‰ñ,2013/10/31,52,0,5,2,Thursday
3752,‘æ3752‰ñ,2013/11/1,535,5,3,5,Friday
3753,‘æ3753‰ñ,2013/11/4,952,9,5,2,Monday
3754,‘æ3754‰ñ,2013/11/5,650,6,5,0,Tuesday
3755,‘æ3755‰ñ,2013/11/6,524,5,2,4,Wednesday
3756,‘æ3756‰ñ,2013/11/7,694,6,9,4,Thursday
3757,‘æ3757‰ñ,2013/11/8,380,3,8,0,Friday
3758,‘æ3758‰ñ,2013/11/11,885,8,8,5,Monday
