No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place,Next_result
97,2020-05-19,2369,2,3,6,9,4996
98,2020-05-20,4996,4,9,9,6,3752
99,2020-05-21,3752,3,7,5,2,1598
100,2020-05-22,1598,1,5,9,8,7886
101,2020-05-25,7886,7,8,8,6,5859
102,2020-05-26,5859,5,8,5,9,7709
103,2020-05-27,7709,7,7,0,9,4767
104,2020-05-28,4767,4,7,6,7,1447
105,2020-05-29,1447,1,4,4,7,2739
106,2020-06-01,2739,2,7,3,9,7732
107,2020-06-02,7732,7,7,3,2,8473
108,2020-06-03,8473,8,4,7,3,3036
109,2020-06-04,3036,3,0,3,6,517
110,2020-06-05,517,0,5,1,7,8183
111,2020-06-08,8183,8,1,8,3,3061
112,2020-06-09,3061,3,0,6,1,8609
113,2020-06-10,8609,8,6,0,9,3730
114,2020-06-11,3730,3,7,3,0,881
115,2020-06-12,881,0,8,8,1,8475
116,2020-06-15,8475,8,4,7,5,9617
117,2020-06-16,9617,9,6,1,7,722
118,2020-06-17,722,0,7,2,2,8256
119,2020-06-18,8256,8,2,5,6,1944
120,2020-06-19,1944,1,9,4,4,8970
121,2020-06-22,8970,8,9,7,0,6754
122,2020-06-23,6754,6,7,5,4,8139
123,2020-06-24,8139,8,1,3,9,7206
124,2020-06-25,7206,7,2,0,6,6079
125,2020-06-26,6079,6,0,7,9,4370
126,2020-06-29,4370,4,3,7,0,9421
127,2020-06-30,9421,9,4,2,1,1341
128,2020-07-01,1341,1,3,4,1,9147
129,2020-07-02,9147,9,1,4,7,386
130,2020-07-03,386,0,3,8,6,9856
131,2020-07-06,9856,9,8,5,6,7437
132,2020-07-07,7437,7,4,3,7,6269
133,2020-07-08,6269,6,2,6,9,633
134,2020-07-09,633,0,6,3,3,758
135,2020-07-10,758,0,7,5,8,4346
136,2020-07-13,4346,4,3,4,6,2671
137,2020-07-14,2671,2,6,7,1,63
138,2020-07-15,63,0,0,6,3,1321
139,2020-07-16,1321,1,3,2,1,2437
140,2020-07-17,2437,2,4,3,7,2906
141,2020-07-20,2906,2,9,0,6,6603
142,2020-07-21,6603,6,6,0,3,4836
143,2020-07-22,4836,4,8,3,6,9853
144,2020-07-23,9853,9,8,5,2,9451
145,2020-07-24,9451,9,4,5,1,2358
146,2020-07-27,2358,2,3,5,8,9905
147,2020-07-28,9905,9,9,0,5,1558
148,2020-07-29,1558,1,5,5,8,8
149,2020-07-30,8,0,0,0,8,2717
150,2020-07-31,2717,2,7,1,7,5116
151,2020-08-03,5116,5,1,1,6,6679
152,2020-08-04,6679,6,6,7,9,4793
153,2020-08-05,4793,4,7,9,3,8478
154,2020-08-06,8478,8,4,7,8,2823
155,2020-08-07,2823,2,8,2,3,8386
156,2020-08-10,8386,8,3,8,6,8065
157,2020-08-11,8065,8,0,6,5,8311
158,2020-08-12,8311,8,3,1,1,8055
159,2020-08-13,8055,8,0,5,5,2413
160,2020-08-14,2413,2,4,1,3,6591
161,2020-08-17,6591,6,5,9,1,3929
162,2020-08-18,3929,3,9,2,9,5405
163,2020-08-19,5405,5,4,0,5,6653
164,2020-08-20,6653,6,6,5,3,6510
165,2024-08-21,6510,6,5,1,0,7738
166,2020-08-24,7738,7,7,3,8,8063
167,2020-08-25,8063,8,0,6,3,8876
168,2020-08-26,8876,8,8,7,6,8499
169,2020-08-27,8499,8,4,9,9,5989
167,2020-08-28,5989,5,9,8,9,1240
171,2020-08-31,1240,1,2,4,0,2417
172,2020-09-01,2417,2,4,1,7,3565
173,2020-09-02,3565,3,5,6,5,3833
174,2020-09-03,3833,3,8,3,3,6198
175,2020-09-04,6198,6,1,9,8,3392
176,2020-09-07,3392,3,3,9,2,2687
177,2020-09-08,2687,2,6,8,7,7405
178,2020-09-09,7405,7,4,0,5,8815
179,2020-09-10,8815,8,8,1,5,6764
180,2020-09-11,6764,6,7,6,4,8918
181,2020-09-14,8918,8,9,1,8,4872
182,2020-09-15,4872,4,8,7,2,4251
183,2020-09-16,4251,4,2,5,1,7682
184,2020-09-17,7682,7,6,8,2,3542
185,2020-09-18,3542,3,5,4,2,2182
186,2020-09-21,2182,2,1,8,2,9566
187,2020-09-22,9566,9,5,6,6,4218
188,2020-09-23,4218,4,2,1,8,1131
189,2020-09-24,1131,1,1,3,1,2063
190,2020-09-25,2063,2,0,6,3,2128
191,2020-09-28,2128,2,1,2,8,1288
192,2020-09-29,1288,1,2,8,8,7106
193,2020-09-30,7106,7,1,0,6,4380
194,2020-10-01,4380,4,3,8,0,1610
195,2020-10-02,1610,1,6,1,0,4228
196,2020-10-05,4228,4,2,2,8,4086
197,2020-10-06,4086,4,0,8,6,2972
198,2020-10-07,2972,2,9,7,2,2299
199,2020-10-08,2299,2,2,9,9,6963
200,2020-10-09,6963,6,9,6,3,9654
201,2020-10-12,9654,9,6,8,4,7977
202,2020-10-13,7977,7,9,7,7,1599
203,2020-10-14,1599,1,5,9,9,4114
204,2020-10-15,4114,4,1,1,4,6063
205,2020-10-16,6063,6,0,6,3,1222
206,2020-10-19,1222,1,2,2,2,103
207,2020-10-20,103,0,1,0,3,4301
208,2020-10-21,4301,4,3,0,1,8866
209,2020-10-22,8866,8,8,6,6,6518
210,2020-10-23,6518,6,5,1,8,8722
211,2020-10-26,8722,8,7,2,2,4208
212,2020-10-27,4208,4,2,0,8,5010
213,2020-10-28,5010,5,0,1,0,2024
214,2020-10-29,2024,2,0,2,4,5552
215,2020-10-30,5552,5,5,5,2,256
216,2020-11-02,256,0,2,5,6,6615
217,2020-11-03,6615,6,6,1,5,6213
218,2020-11-04,6213,6,2,1,3,1796
219,2020-11-05,1796,1,7,9,6,1605
220,2020-11-06,1605,1,6,0,5,8594
221,2020-11-09,8594,8,5,9,4,1607
222,2020-11-10,1607,1,6,0,7,6620
223,2020-11-11,6620,6,6,2,0,2587
224,2020-11-12,2587,2,5,8,7,6977
225,2020-11-13,6977,6,9,7,7,622
226,2020-11-16,622,0,6,2,2,2304
227,2020-11-17,2304,2,3,0,4,613
228,2020-11-18,613,0,6,1,3,8052
229,2020-11-19,8052,8,0,5,2,3924
230,2020-11-20,3924,3,9,2,4,8044
231,2020-11-23,8044,8,0,4,4,2995
232,2020-11-24,2995,2,9,9,5,723
233,2020-11-25,723,0,7,2,3,1745
234,2020-11-26,1745,1,7,4,5,2148
235,2020-11-27,2148,2,1,4,8,356
236,2020-11-30,356,0,3,5,6,254
237,2020-12-01,254,0,2,5,4,1446
238,2020-12-02,1446,1,4,4,6,5190
239,2020-12-03,5190,5,1,9,0,4636
240,2020-12-04,4636,4,6,3,6,2819
241,2020-12-07,2819,2,8,1,9,6591
242,2020-12-08,6591,6,5,9,1,30
243,2020-12-09,30,0,0,3,0,7507
244,2020-12-10,7507,7,5,0,7,502
245,2020-12-11,502,0,5,0,2,4515
246,2020-12-14,4515,4,5,1,5,406
247,2020-12-15,406,0,4,0,6,1962
248,2020-12-17,1962,1,9,6,2,1174
249,2020-12-18,1174,1,1,7,4,9935
250,2020-12-21,9935,9,9,3,5,6635
251,2020-12-22,6635,6,6,3,5,7349
252,2020-12-23,7349,7,3,4,9,8737
253,2020-12-24,8737,8,7,3,7,5876
254,2020-12-25,5876,5,8,7,6,2058
255,2020-12-28,2058,2,0,5,8,2649
256,2020-12-29,2649,2,6,4,9,169
257,2020-12-30,169,0,1,6,9,3299
1,2021-01-04,3299,3,2,9,9,1530
2,2021-01-05,1530,1,5,3,0,7155
3,2021-01-06,7155,7,1,5,5,1974
4,2021-01-07,1974,1,9,7,4,5852
5,2021-01-08,5852,5,8,5,2,6497
6,2021-01-11,6497,6,4,9,7,8695
7,2021-01-12,8695,8,6,9,5,1985
8,2021-01-13,1985,1,9,8,5,4886
9,2021-01-14,4886,4,8,8,6,983
10,2021-01-15,983,0,9,8,3,5172
11,2021-01-18,5172,5,1,7,2,8877
12,2021-01-19,8877,8,8,7,7,3380
13,2021-01-20,3380,3,3,8,0,4738
14,2021-01-21,4738,4,7,3,8,1605
15,2021-01-22,1605,1,6,0,5,2030
16,2021-01-25,2030,2,0,3,0,4298
17,2021-01-26,4298,4,2,9,8,7754
18,2021-01-27,7754,7,7,5,4,1167
19,2021-01-28,1167,1,1,6,7,2537
20,2021-01-29,2537,2,5,3,7,5346
21,2021-02-01,5346,5,3,4,6,7148
22,2021-02-02,7148,7,1,4,8,8752
23,2021-02-03,8752,8,7,5,2,169
24,2021-02-04,169,0,1,6,9,3110
25,2021-02-05,3110,3,1,1,0,6587
26,2021-02-08,6587,6,5,8,7,4728
27,2021-02-09,4728,4,7,2,8,4377
28,2021-02-10,4377,4,3,7,7,3840
29,2021-02-11,3840,3,8,4,0,6012
30,2021-02-12,6012,6,0,1,2,7944
31,2021-02-15,7944,7,9,4,4,6901
32,2021-02-16,6901,6,9,0,1,2968
33,2021-02-17,2968,2,9,6,8,9635
34,2021-02-18,9635,9,6,3,5,8886
35,2021-02-19,8886,8,8,8,6,4246
36,2021-02-22,4246,4,2,4,6,1968
37,2021-02-23,1968,1,9,6,8,9491
38,2021-02-24,9491,9,4,9,1,9613
39,2021-02-25,9613,9,6,1,3,9691
40,2021-02-26,9691,9,6,9,1,5378
41,2021-03-01,5378,5,3,7,8,8117
42,2021-03-02,8117,8,1,1,7,2658
43,2021-03-03,2658,2,6,5,8,3364
44,2021-03-04,3364,3,3,6,4,4525
45,2021-03-05,4525,4,5,2,5,6290
46,2021-03-08,6290,6,2,9,0,3930
47,2021-03-09,3930,3,9,3,0,2925
48,2021-03-10,2925,2,9,2,5,6030
49,2021-03-11,6030,6,0,3,0,2979
50,2021-03-12,2979,2,9,7,9,3557
51,2021-03-15,3557,3,5,5,7,3853
52,2021-03-16,3853,3,8,5,3,5553
53,2021-03-17,5553,5,5,5,3,7369
54,2021-03-18,7369,7,3,6,9,4167
55,2021-03-19,4167,4,1,6,7,3237
56,2021-03-22,3237,3,2,3,7,2510
57,2021-03-23,2510,2,5,1,0,3193
58,2021-03-24,3193,3,1,9,3,3658
59,2021-03-25,3658,3,6,5,8,8114
60,2021-03-26,8114,8,1,1,4,5681
61,2021-03-29,5681,5,6,8,1,269
62,2021-03-30,269,0,2,6,9,9997
63,2021-03-31,9997,9,9,9,7,6215
64,2021-04-01,6215,6,2,1,5,362
65,2021-04-02,362,0,3,6,2,871
66,2021-04-05,871,0,8,7,1,2145
67,2021-04-06,2145,2,1,4,5,9142
68,2021-04-07,9142,9,1,4,2,8505
69,2021-04-08,8505,8,5,0,5,3745
70,2021-04-09,3745,3,7,4,5,2524
71,2021-04-12,2524,2,5,2,4,7330
72,2021-04-13,7330,7,3,3,0,6017
73,2021-04-14,6017,6,0,1,7,2778
74,2021-04-15,2778,2,7,7,8,788
75,2021-04-16,788,0,7,8,8,5711
76,2021-04-19,5711,5,7,1,1,5063
77,2021-04-20,5063,5,0,6,3,1798
78,2021-04-21,1798,1,7,9,8,7294
79,2021-04-22,7294,7,2,9,4,9706
80,2021-04-23,9706,9,7,0,6,3793
81,2021-04-26,3793,3,7,9,3,3193
82,2021-04-27,3193,3,1,9,3,2801
83,2021-04-28,2801,2,8,0,1,2307
84,2021-04-29,2307,2,3,0,7,9672
85,2021-04-30,9672,9,6,7,2,4423
86,2021-05-03,4423,4,4,2,3,388
87,2021-05-04,388,0,3,8,8,6137
88,2021-05-05,6137,6,1,3,7,3598
89,2021-05-06,3598,3,5,9,8,982
90,2021-05-07,982,0,9,8,2,2788
91,2021-05-10,2788,2,7,8,8,4213
92,2021-05-11,4213,4,2,1,3,1685
93,2021-05-12,1685,1,6,8,5,448
94,2021-05-13,448,0,4,4,8,5039
95,2021-05-14,5039,5,0,3,9,1790
96,2021-05-17,1790,1,7,9,0,1482
97,2021-05-18,1482,1,4,8,2,6075
98,2021-05-19,6075,6,0,7,5,5815
99,2021-05-20,5815,5,8,1,5,99
100,2021-05-21,99,0,0,9,9,2734
101,2021-05-24,2734,2,7,3,4,5941
102,2021-05-25,5941,5,9,4,1,1082
103,2021-05-26,1082,1,0,8,2,824
104,2021-05-27,824,0,8,2,4,7368
105,2021-05-28,7368,7,3,6,8,5783
106,2021-05-31,5783,5,7,8,3,9087
107,2021-06-01,9087,9,0,8,7,1995
108,2021-06-02,1995,1,9,9,5,6469
109,2021-06-03,6469,6,4,6,9,5198
110,2021-06-04,5198,5,1,9,8,2759
111,2021-06-07,2759,2,7,5,9,1505
112,2021-06-08,1505,1,5,0,5,625
113,2021-06-09,625,0,6,2,5,9232
114,2021-06-10,9232,9,2,3,2,4903
115,2021-06-11,4903,4,9,0,3,6894
116,2021-06-14,6894,6,8,9,4,4730
117,2021-06-15,4730,4,7,3,0,3555
118,2021-06-16,3555,3,5,5,5,6637
119,2021-06-17,6637,6,6,3,7,7158
120,2021-06-18,7158,7,1,5,8,9136
121,2021-06-21,9136,9,1,3,6,130
122,2021-06-22,130,0,1,3,0,892
123,2021-06-23,892,0,8,9,2,2920
124,2021-06-24,2920,2,9,2,0,2479
125,2021-06-25,2479,2,4,7,9,5047
126,2021-06-28,5047,5,0,4,7,3268
127,2021-06-29,3268,3,2,6,8,1275
128,2021-06-30,1275,1,2,7,5,8941
129,2021-07-01,8941,8,9,4,1,1382
130,2021-07-02,1382,1,3,8,2,8819
131,2021-07-05,8819,8,8,1,9,3130
132,2021-07-06,3130,3,1,3,0,8023
133,2021-07-07,8023,8,0,2,3,1903
134,2021-07-08,1903,1,9,0,3,1585
135,2021-07-09,1585,1,5,8,5,6915
136,2021-07-12,6915,6,9,1,5,5211
137,2021-07-13,5211,5,2,1,1,6992
138,2021-07-14,6992,6,9,9,2,678
139,2021-07-15,678,0,6,7,8,5104
140,2021-07-16,5104,5,1,0,4,6109
141,2021-07-19,6109,6,1,0,9,5038
142,2021-07-20,5038,5,0,3,8,6438
143,2021-07-21,6438,6,4,3,8,9921
144,2021-07-22,9921,9,9,2,1,1012
145,2021-07-23,1012,1,0,1,2,4594
146,2021-07-26,4594,4,5,9,4,7600
147,2021-07-27,7600,7,6,0,0,8763
148,2021-07-28,8763,8,7,6,3,1678
149,2021-07-29,1678,1,6,7,8,7506
150,2021-07-30,7506,7,5,0,6,9627
151,2021-08-02,9627,9,6,2,7,8365
152,2021-08-03,8365,8,3,6,5,1783
153,2021-08-04,1783,1,7,8,3,798
154,2021-08-05,798,0,7,9,8,9860
155,2021-08-06,9860,9,8,6,0,2085
156,2021-08-09,2085,2,0,8,5,2610
157,2021-08-10,2610,2,6,1,0,985
158,2021-08-11,985,0,9,8,5,8547
159,2021-08-12,8547,8,5,4,7,949
160,2021-08-13,949,0,9,4,9,7342
161,2021-08-16,7342,7,3,4,2,9191
162,2021-08-17,9191,9,1,9,1,4861
163,2021-08-18,4861,4,8,6,1,1275
164,2021-08-19,1275,1,2,7,5,6659
165,2021-08-20,6659,6,6,5,9,8494
166,2021-08-23,8494,8,4,9,4,2058
167,2021-08-24,2058,2,0,5,8,3500
168,2021-08-25,3500,3,5,0,0,3631
169,2021-08-26,3631,3,6,3,1,2615
170,2021-08-27,2615,2,6,1,5,715
171,2021-08-30,715,0,7,1,5,9879
172,2021-08-31,9879,9,8,7,9,4723
173,2021-09-01,4723,4,7,2,3,3476
174,2021-09-02,3476,3,4,7,6,4858
175,2021-09-03,4858,4,8,5,8,6163
176,2021-09-06,6163,6,1,6,3,546
177,2021-09-07,546,0,5,4,6,1022
178,2021-09-08,1022,1,0,2,2,3550
179,2021-09-09,3550,3,5,5,0,5853
180,2021-09-10,5853,5,8,5,3,9272
181,2021-09-13,9272,9,2,7,2,8885
182,2021-09-14,8885,8,8,8,5,2409
183,2021-09-15,2409,2,4,0,9,1108
184,2021-09-16,1108,1,1,0,8,3043
185,2021-09-17,3043,3,0,4,3,8694
186,2021-09-20,8694,8,6,9,4,6520
187,2021-09-21,6520,6,5,2,0,4433
188,2021-09-22,4433,4,4,3,3,323
189,2021-09-23,323,0,3,2,3,2873
190,2021-09-24,2873,2,8,7,3,6931
191,2021-09-27,6931,6,9,3,1,6157
192,2021-09-28,6157,6,1,5,7,4208
193,2021-09-29,4208,4,2,0,8,2691
194,2021-09-30,2691,2,6,9,1,9445
195,2021-10-01,9445,9,4,4,5,3144
196,2021-10-04,3144,3,1,4,4,3544
197,2021-10-05,3544,3,5,4,4,8464
198,2021-10-06,8464,8,4,6,4,7242
199,2021-10-07,7242,7,2,4,2,5041
200,2021-10-08,5041,5,0,4,1,1848
201,2021-10-11,1848,1,8,4,8,563
202,2021-10-12,563,0,5,6,3,9395
203,2021-10-13,9395,9,3,9,5,436
204,2021-10-14,436,0,4,3,6,2892
205,2021-10-15,2892,2,8,9,2,4201
206,2021-10-18,4201,4,2,0,1,6058
207,2021-10-19,6058,6,0,5,8,1109
208,2021-10-20,1109,1,1,0,9,4825
209,2021-10-21,4825,4,8,2,5,1869
210,2021-10-22,1869,1,8,6,9,2370
211,2021-10-25,2370,2,3,7,0,6918
212,2021-10-26,6918,6,9,1,8,5476
213,2021-10-27,5476,5,4,7,6,9442
214,2021-10-28,9442,9,4,4,2,2850
215,2021-10-29,2850,2,8,5,0,7063
216,2021-11-01,7063,7,0,6,3,5133
217,2021-11-02,5133,5,1,3,3,7902
218,2021-11-03,7902,7,9,0,2,9021
219,2021-11-04,9021,9,0,2,1,3713
220,2021-11-05,3713,3,7,1,3,1089
221,2021-11-08,1089,1,0,8,9,2121
222,2021-11-09,2121,2,1,2,1,9319
223,2021-11-10,9319,9,3,1,9,4569
224,2021-11-11,4569,4,5,6,9,1149
225,2021-11-12,1149,1,1,4,9,8425
226,2021-11-15,8425,8,4,2,5,3833
227,2021-11-16,3833,3,8,3,3,8231
228,2021-11-17,8231,8,2,3,1,8481
229,2021-11-18,8481,8,4,8,1,4880
230,2021-11-19,4880,4,8,8,0,1205
231,2021-11-22,1205,1,2,0,5,8842
232,2021-11-23,8842,8,8,4,2,5427
233,2021-11-24,5427,5,4,2,7,4223
234,2021-11-25,4223,4,2,2,3,3044
235,2021-11-26,3044,3,0,4,4,8624
236,2021-11-29,8624,8,6,2,4,4594
237,2021-11-30,4594,4,5,9,4,4643
238,2021-12-01,4643,4,6,4,3,7269
239,2021-12-02,7269,7,2,6,9,1888
240,2021-12-03,1888,1,8,8,8,6770
241,2021-12-06,6770,6,7,7,0,8951
242,2021-12-07,8951,8,9,5,1,8438
243,2021-12-08,8438,8,4,3,8,5741
244,2021-12-09,5741,5,7,4,1,9636
245,2021-12-10,9636,9,6,3,6,2381
246,2021-12-13,2381,2,3,8,1,1250
247,2021-12-14,1250,1,2,5,0,7246
248,2021-12-15,7246,7,2,4,6,6572
249,2021-12-16,6572,6,5,7,2,9613
250,2021-12-17,9613,9,6,1,3,1743
251,2021-12-20,1743,1,7,4,3,3582
252,2021-12-21,3582,3,5,8,2,7399
253,2021-12-22,7399,7,3,9,9,8544
254,2021-12-23,8544,8,5,4,4,807
255,2021-12-24,807,0,8,0,7,9715
256,2021-12-27,9715,9,7,1,5,4205
257,2021-12-28,4205,4,2,0,5,4559
258,2021-12-29,4559,4,5,5,9,4709
259,2021-12-30,4709,4,7,0,9,7731
1,2022-01-07,7731,7,7,3,1,6768
2,2022-01-10,6768,6,7,6,8,5711
3,2022-01-11,5711,5,7,1,1,1627
4,2022-01-12,1627,1,6,2,7,4892
5,2022-01-13,4892,4,8,9,2,903
6,2022-01-14,903,0,9,0,3,2881
7,2022-01-17,2881,2,8,8,1,4199
8,2022-01-18,4199,4,1,9,9,5635
9,2022-01-19,5635,5,6,3,5,9024
10,2022-01-20,9024,9,0,2,4,855
11,2022-01-21,855,0,8,5,5,383
12,2022-01-24,383,0,3,8,3,4363
13,2022-01-25,4363,4,3,6,3,5046
14,2022-01-26,5046,5,0,4,6,3429
15,2022-01-27,3429,3,4,2,9,2162
16,2022-01-28,2162,2,1,6,2,3052
17,2022-01-31,3052,3,0,5,2,5602
18,2022-02-01,5602,5,6,0,2,3383
19,2022-02-02,3383,3,3,8,3,7
20,2022-02-03,7,0,0,0,7,5872
21,2022-02-04,5872,5,8,7,2,9432
22,2022-02-07,9432,9,4,3,2,8377
23,2022-02-08,8377,8,3,7,7,8255
24,2022-02-09,8255,8,2,5,5,8577
25,2022-02-10,8577,8,5,7,7,1292
26,2022-02-11,1292,1,2,9,2,3418
27,2022-02-14,3418,3,4,1,8,9510
28,2022-02-15,9510,9,5,1,0,2334
29,2022-02-16,2334,2,3,3,4,5685
30,2022-02-17,5685,5,6,8,5,5922
31,2022-02-18,5922,5,9,2,2,10
32,2022-02-21,10,0,0,1,0,8108
33,2022-02-22,8108,8,1,0,8,5632
34,2022-02-23,5632,5,6,3,2,3289
35,2022-02-24,3289,3,2,8,9,1554
36,2022-02-25,1554,1,5,5,4,4803
37,2022-02-28,4803,4,8,0,3,5279
38,2022-03-01,5279,5,2,7,9,3365
39,2022-03-02,3365,3,3,6,5,1990
40,2022-03-03,1990,1,9,9,0,3591
41,2022-03-04,3591,3,5,9,1,8432
42,2022-03-07,8432,8,4,3,2,8726
43,2022-03-08,8726,8,7,2,6,5692
44,2022-03-09,5692,5,6,9,2,6992
45,2022-03-10,6992,6,9,9,2,6774
46,2022-03-11,6774,6,7,7,4,1763
47,2022-03-14,1763,1,7,6,3,3913
48,2022-03-15,3913,3,9,1,3,7733
49,2022-03-16,7733,7,7,3,3,1346
50,2022-03-17,1346,1,3,4,6,4844
51,2022-03-18,4844,4,8,4,4,4218
52,2022-03-21,4218,4,2,1,8,8984
53,2022-03-22,8984,8,9,8,4,8432
54,2022-03-23,8432,8,4,3,2,1378
55,2022-03-24,1378,1,3,7,8,1188
56,2022-03-25,1188,1,1,8,8,7738
57,2022-03-28,7738,7,7,3,8,4909
58,2022-03-29,4909,4,9,0,9,36
59,2022-03-30,36,0,0,3,6,389
60,2022-03-31,389,0,3,8,9,7136
61,2022-04-01,7136,7,1,3,6,7000
62,2022-04-04,7000,7,0,0,0,8986
63,2022-04-05,8986,8,9,8,6,9094
64,2022-04-06,9094,9,0,9,4,1858
65,2022-04-07,1858,1,8,5,8,896
66,2022-04-08,896,0,8,9,6,7495
67,2022-04-11,7495,7,4,9,5,479
68,2022-04-12,479,0,4,7,9,3221
69,2022-04-13,3221,3,2,2,1,7844
70,2022-04-14,7844,7,8,4,4,1026
71,2022-04-15,1026,1,0,2,6,2025
72,2022-04-18,2025,2,0,2,5,6481
73,2022-04-19,6481,6,4,8,1,8635
74,2022-04-20,8635,8,6,3,5,9970
75,2022-04-21,9970,9,9,7,0,7005
76,2022-04-22,7005,7,0,0,5,966
77,2022-04-25,966,0,9,6,6,6230
78,2022-04-26,6230,6,2,3,0,6399
79,2022-04-27,6399,6,3,9,9,1629
80,2022-04-28,1629,1,6,2,9,9545
81,2022-04-29,9545,9,5,4,5,139
82,2022-05-02,139,0,1,3,9,7113
83,2022-05-03,7113,7,1,1,3,5222
84,2022-05-04,5222,5,2,2,2,8977
85,2022-05-05,8977,8,9,7,7,7127
86,2022-05-06,7127,7,1,2,7,4086
87,2022-05-09,4086,4,0,8,6,9533
88,2022-05-10,9533,9,5,3,3,2804
89,2022-05-11,2804,2,8,0,4,3661
90,2022-05-12,3661,3,6,6,1,6348
91,2022-05-13,6348,6,3,4,8,2304
92,2022-05-16,2304,2,3,0,4,1960
93,2022-05-17,1960,1,9,6,0,9015
94,2022-05-18,9015,9,0,1,5,3272
95,2022-05-19,3272,3,2,7,2,2334
96,2022-05-20,2334,2,3,3,4,6801
97,2022-05-23,6801,6,8,0,1,7574
98,2022-05-24,7574,7,5,7,4,6575
99,2022-05-25,6575,6,5,7,5,5128
100,2022-05-26,5128,5,1,2,8,5393
101,2022-05-27,5393,5,3,9,3,1590
102,2022-05-30,1590,1,5,9,0,4058
103,2022-05-31,4058,4,0,5,8,6357
104,2022-06-01,6357,6,3,5,7,1312
105,2022-06-02,1312,1,3,1,2,9919
106,2022-06-03,9919,9,9,1,9,3197
107,2022-06-06,3197,3,1,9,7,1198
108,2022-06-07,1198,1,1,9,8,4185
109,2022-06-08,4185,4,1,8,5,7363
110,2022-06-09,7363,7,3,6,3,5808
111,2022-06-10,5808,5,8,0,8,9366
112,2022-06-13,9366,9,3,6,6,6840
113,2022-06-14,6840,6,8,4,0,7968
114,2022-06-15,7968,7,9,6,8,5302
115,2022-06-16,5302,5,3,0,2,6092
116,2022-06-17,6092,6,0,9,2,1099
117,2022-06-20,1099,1,0,9,9,3256
118,2022-06-21,3256,3,2,5,6,7523
119,2022-06-22,7523,7,5,2,3,2057
120,2022-06-23,2057,2,0,5,7,433
121,2022-06-24,433,0,4,3,3,7335
122,2022-06-27,7335,7,3,3,5,9210
123,2022-06-28,9210,9,2,1,0,2350
124,2022-06-29,2350,2,3,5,0,4841
125,2022-06-30,4841,4,8,4,1,9771
126,2022-07-01,9771,9,7,7,1,1921
127,2022-07-04,1921,1,9,2,1,440
128,2022-07-05,440,0,4,4,0,7677
129,2022-07-06,7677,7,6,7,7,8336
130,2022-07-07,8336,8,3,3,6,8209
131,2022-07-08,8209,8,2,0,9,6903
132,2022-07-11,6903,6,9,0,3,3726
133,2022-07-12,3726,3,7,2,6,679
134,2022-07-13,679,0,6,7,9,791
135,2022-07-14,791,0,7,9,1,1656
136,2022-07-15,1656,1,6,5,6,8136
137,2022-07-18,8136,8,1,3,6,7140
138,2022-07-19,7140,7,1,4,0,3078
139,2022-07-20,3078,3,0,7,8,6990
140,2022-07-21,6990,6,9,9,0,4306
141,2022-07-22,4306,4,3,0,6,1540
142,2022-07-25,1540,1,5,4,0,9062
143,2022-07-26,9062,9,0,6,2,8645
144,2022-07-27,8645,8,6,4,5,4398
145,2022-07-28,4398,4,3,9,8,5125
146,2022-07-29,5125,5,1,2,5,6787
147,2022-08-01,6787,6,7,8,7,6791
148,2022-08-02,6791,6,7,9,1,7453
149,2022-08-03,7453,7,4,5,3,2057
150,2022-08-04,2057,2,0,5,7,6771
151,2022-08-05,6771,6,7,7,1,8394
152,2022-08-08,8394,8,3,9,4,1932
153,2022-08-09,1932,1,9,3,2,2490
154,2022-08-10,2490,2,4,9,0,9779
155,2022-08-11,9779,9,7,7,9,9750
156,2022-08-12,9750,9,7,5,0,6554
157,2022-08-15,6554,6,5,5,4,6802
158,2022-08-16,6802,6,8,0,2,7148
159,2022-08-17,7148,7,1,4,8,1278
160,2022-08-18,1278,1,2,7,8,4238
161,2022-08-19,4238,4,2,3,8,591
162,2022-08-22,591,0,5,9,1,6743
163,2022-08-23,6743,6,7,4,3,2673
164,2022-08-24,2673,2,6,7,3,5460
165,2022-08-25,5460,5,4,6,0,8841
166,2022-08-26,8841,8,8,4,1,4284
167,2022-08-29,4284,4,2,8,4,4674
168,2022-08-30,4674,4,6,7,4,6933
169,2022-08-31,6933,6,9,3,3,4074
170,2022-09-01,4074,4,0,7,4,8530
171,2022-09-02,8530,8,5,3,0,7105
172,2022-09-05,7105,7,1,0,5,4798
173,2022-09-06,4798,4,7,9,8,306
174,2022-09-07,306,0,3,0,6,3703
175,2022-09-08,3703,3,7,0,3,8149
176,2022-09-09,8149,8,1,4,9,6679
177,2022-09-12,6679,6,6,7,9,8222
178,2022-09-13,8222,8,2,2,2,1777
179,2022-09-14,1777,1,7,7,7,2808
180,2022-09-15,2808,2,8,0,8,5200
181,2022-09-16,5200,5,2,0,0,7306
182,2022-09-19,7306,7,3,0,6,8103
183,2022-09-20,8103,8,1,0,3,6872
184,2022-09-21,6872,6,8,7,2,8399
185,2022-09-22,8399,8,3,9,9,758
186,2022-09-23,758,0,7,5,8,2299
187,2022-09-26,2299,2,2,9,9,6959
188,2022-09-27,6959,6,9,5,9,6473
189,2022-09-28,6473,6,4,7,3,9861
190,2022-09-29,9861,9,8,6,1,2017
191,2022-09-30,2017,2,0,1,7,2608
192,2022-10-03,2608,2,6,0,8,980
